num_vertices,edge_percentage,num_edges,k_percentage,k,vertex_cover,is_vertex_cover,num_operations,num_solutions_tested,time
4,12.5,0,75.0,3,,False,0,1,0.0
4,25.0,1,75.0,3,,False,3,2,0.0
4,50.0,3,75.0,3,,False,7,3,0.0
4,75.0,4,75.0,3,"{0, 2, 3}",True,10,3,0.0
5,12.5,1,75.0,3,,False,3,2,0.0
5,25.0,2,75.0,3,,False,6,3,0.0
5,50.0,5,75.0,3,,False,10,3,0.0
5,75.0,7,75.0,3,,False,12,3,0.0
6,12.5,1,75.0,4,,False,3,2,0.0
6,25.0,3,75.0,4,,False,9,4,0.0
6,50.0,7,75.0,4,,False,13,4,0.0
6,75.0,11,75.0,4,"{0, 1, 2, 5}",True,19,4,0.0
7,12.5,2,75.0,5,,False,6,3,0.0
7,25.0,5,75.0,5,,False,13,5,0.0
7,50.0,10,75.0,5,,False,18,5,0.0
7,75.0,15,75.0,5,,False,24,5,0.0
8,12.5,3,75.0,6,,False,9,4,0.0
8,25.0,7,75.0,6,,False,15,5,0.0
8,50.0,14,75.0,6,"{0, 1, 2, 4, 5, 7}",True,26,6,0.0
8,75.0,21,75.0,6,"{1, 2, 3, 4, 5, 7}",True,33,6,0.0
9,12.5,4,75.0,6,,False,10,4,0.0
9,25.0,9,75.0,6,,False,19,6,0.0
9,50.0,18,75.0,6,"{1, 2, 3, 4, 7, 8}",True,30,6,0.0
9,75.0,27,75.0,6,,False,37,6,0.0
10,12.5,5,75.0,7,,False,13,5,0.0
10,25.0,11,75.0,7,,False,21,6,0.005894899368286133
10,50.0,22,75.0,7,,False,35,7,0.0
10,75.0,33,75.0,7,,False,45,7,0.0
11,12.5,6,75.0,8,,False,16,6,0.0
11,25.0,13,75.0,8,,False,25,7,0.0
11,50.0,27,75.0,8,,False,41,8,0.0
11,75.0,41,75.0,8,,False,54,8,0.0
12,12.5,8,75.0,9,,False,20,7,0.0
12,25.0,16,75.0,9,,False,32,9,0.0
12,50.0,33,75.0,9,,False,49,9,0.0
12,75.0,49,75.0,9,,False,64,9,0.0
13,12.5,9,75.0,9,,False,19,6,0.0
13,25.0,19,75.0,9,,False,31,7,0.0
13,50.0,39,75.0,9,,False,54,9,0.0015058517456054688
13,75.0,58,75.0,9,,False,70,9,0.0
14,12.5,11,75.0,10,,False,23,7,0.0
14,25.0,22,75.0,10,,False,38,9,0.001088857650756836
14,50.0,45,75.0,10,,False,64,10,0.0
14,75.0,68,75.0,10,,False,84,10,0.0
15,12.5,13,75.0,11,,False,27,8,0.0
15,25.0,26,75.0,11,,False,44,10,0.0
15,50.0,52,75.0,11,,False,72,11,0.0
15,75.0,78,75.0,11,,False,97,11,0.0
16,12.5,15,75.0,12,,False,29,8,0.0
16,25.0,30,75.0,12,,False,52,12,0.0
16,50.0,60,75.0,12,,False,83,12,0.0
16,75.0,90,75.0,12,,False,111,12,0.0
17,12.5,17,75.0,12,,False,31,8,0.005165815353393555
17,25.0,34,75.0,12,"{0, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 16}",True,58,12,0.0
17,50.0,68,75.0,12,,False,91,12,0.0
17,75.0,102,75.0,12,,False,121,12,0.001005411148071289
18,12.5,19,75.0,13,,False,31,7,0.0
18,25.0,38,75.0,13,,False,62,13,0.0
18,50.0,76,75.0,13,,False,101,13,0.0
18,75.0,114,75.0,13,,False,134,13,0.0
19,12.5,21,75.0,14,,False,41,11,0.0
19,25.0,42,75.0,14,,False,68,14,0.0
19,50.0,85,75.0,14,,False,110,14,0.0005040168762207031
19,75.0,128,75.0,14,,False,147,14,0.0010037422180175781
20,12.5,23,75.0,15,,False,45,12,0.0
20,25.0,47,75.0,15,"{0, 2, 3, 4, 5, 7, 9, 10, 11, 12, 14, 15, 17, 18, 19}",True,77,15,0.0
20,50.0,95,75.0,15,,False,119,15,0.0
20,75.0,142,75.0,15,,False,165,15,0.0
21,12.5,26,75.0,15,,False,50,13,0.001001119613647461
21,25.0,52,75.0,15,"{0, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 16, 17, 19, 20}",True,82,15,0.0
21,50.0,105,75.0,15,,False,133,15,0.0009984970092773438
21,75.0,157,75.0,15,,False,174,15,0.0009999275207519531
22,12.5,28,75.0,16,,False,54,14,0.0
22,25.0,57,75.0,16,,False,87,16,0.0001475811004638672
22,50.0,115,75.0,16,,False,142,16,0.0
22,75.0,173,75.0,16,,False,194,16,0.0
23,12.5,31,75.0,17,,False,53,12,0.0
23,25.0,63,75.0,17,,False,96,17,0.0
23,50.0,126,75.0,17,,False,158,17,0.0
23,75.0,189,75.0,17,,False,212,17,0.0
