num_vertices,edge_percentage,num_edges,k_percentage,k,vertex_cover,is_vertex_cover,num_operations,num_solutions_tested,time
4,12.5,0,75.0,3,,False,0,1,0.0
4,25.0,1,75.0,3,,False,3,2,0.0
4,50.0,3,75.0,3,,False,7,3,0.0
4,75.0,4,75.0,3,,False,8,3,0.0
5,12.5,1,75.0,3,,False,3,2,0.0
5,25.0,2,75.0,3,,False,6,3,0.0
5,50.0,5,75.0,3,"{0, 1, 2}",True,11,3,0.0
5,75.0,7,75.0,3,,False,12,3,0.0
6,12.5,1,75.0,4,,False,3,2,0.0
6,25.0,3,75.0,4,,False,7,3,0.0
6,50.0,7,75.0,4,"{1, 2, 3, 4}",True,15,4,0.0
6,75.0,11,75.0,4,"{0, 1, 3, 5}",True,19,4,0.0
7,12.5,2,75.0,5,,False,6,3,0.0
7,25.0,5,75.0,5,,False,11,4,0.0
7,50.0,10,75.0,5,"{0, 1, 2, 5, 6}",True,20,5,0.0
7,75.0,15,75.0,5,,False,24,5,0.0
8,12.5,3,75.0,6,,False,9,4,0.0
8,25.0,7,75.0,6,,False,17,6,0.0
8,50.0,14,75.0,6,,False,24,6,0.0
8,75.0,21,75.0,6,"{1, 2, 3, 4, 5, 7}",True,33,6,0.0020058155059814453
9,12.5,4,75.0,6,,False,10,4,0.0
9,25.0,9,75.0,6,"{1, 2, 3, 5, 6, 8}",True,21,6,0.0
9,50.0,18,75.0,6,"{0, 2, 3, 5, 7, 8}",True,30,6,0.0
9,75.0,27,75.0,6,,False,37,6,0.0
10,12.5,5,75.0,7,,False,13,5,0.0
10,25.0,11,75.0,7,,False,21,6,0.0
10,50.0,22,75.0,7,,False,35,7,0.0
10,75.0,33,75.0,7,,False,44,7,0.0
11,12.5,6,75.0,8,,False,16,6,0.0
11,25.0,13,75.0,8,,False,27,8,0.0
11,50.0,27,75.0,8,,False,42,8,0.0
11,75.0,41,75.0,8,,False,55,8,0.0
12,12.5,8,75.0,9,,False,20,7,0.0
12,25.0,16,75.0,9,,False,32,9,0.0
12,50.0,33,75.0,9,,False,48,9,0.0
12,75.0,49,75.0,9,,False,65,9,0.0
13,12.5,9,75.0,9,,False,21,7,0.0
13,25.0,19,75.0,9,,False,35,9,0.0
13,50.0,39,75.0,9,,False,53,9,0.0
13,75.0,58,75.0,9,,False,73,9,0.0
14,12.5,11,75.0,10,,False,25,8,0.0
14,25.0,22,75.0,10,,False,36,8,0.0
14,50.0,45,75.0,10,"{0, 1, 2, 3, 6, 7, 8, 10, 11, 13}",True,65,10,0.00800633430480957
14,75.0,68,75.0,10,,False,83,10,0.0
15,12.5,13,75.0,11,,False,29,9,0.0
15,25.0,26,75.0,11,,False,42,9,0.0
15,50.0,52,75.0,11,,False,71,11,0.0
15,75.0,78,75.0,11,,False,99,11,0.0
16,12.5,15,75.0,12,,False,31,9,0.0
16,25.0,30,75.0,12,,False,50,11,0.0
16,50.0,60,75.0,12,,False,82,12,0.0
16,75.0,90,75.0,12,,False,111,12,0.0
17,12.5,17,75.0,12,,False,33,9,0.0
17,25.0,34,75.0,12,,False,56,12,0.0
17,50.0,68,75.0,12,,False,89,12,0.0
17,75.0,102,75.0,12,,False,121,12,0.0
18,12.5,19,75.0,13,,False,41,12,0.0
18,25.0,38,75.0,13,,False,60,12,0.0
18,50.0,76,75.0,13,,False,98,13,0.0
18,75.0,114,75.0,13,,False,134,13,0.0
19,12.5,21,75.0,14,,False,41,11,0.008005142211914062
19,25.0,42,75.0,14,,False,66,13,0.0
19,50.0,85,75.0,14,,False,110,14,0.0
19,75.0,128,75.0,14,,False,148,14,0.002004384994506836
20,12.5,23,75.0,15,,False,43,11,0.0
20,25.0,47,75.0,15,,False,71,13,0.0
20,50.0,95,75.0,15,,False,119,15,0.0
20,75.0,142,75.0,15,,False,166,15,0.0
21,12.5,26,75.0,15,,False,48,12,0.003010272979736328
21,25.0,52,75.0,15,"{2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 16, 17, 19, 20}",True,82,15,0.0
21,50.0,105,75.0,15,,False,133,15,0.0
21,75.0,157,75.0,15,,False,179,15,0.0
22,12.5,28,75.0,16,,False,52,13,0.0
22,25.0,57,75.0,16,"{0, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 18, 20, 21}",True,89,16,0.0
22,50.0,115,75.0,16,,False,143,16,0.0
22,75.0,173,75.0,16,,False,199,16,0.0
23,12.5,31,75.0,17,,False,59,15,0.0
23,25.0,63,75.0,17,,False,93,16,0.0
23,50.0,126,75.0,17,,False,153,17,0.0
23,75.0,189,75.0,17,,False,213,17,0.007563114166259766
